HDFC.NS,BAJFINANCE.NS,IBULHSGFIN.NS,ZEEL.NS,TCS.NS,HEROMOTOCO.NS,BRITANNIA.NS,COALINDIA.NS,EICHERMOT.NS,HINDUNILVR.NS
-0.011323803,-0.005952201,-0.038320649,-0.031885454,0.00856084,0.000693573,-0.007531866,-0.000596221,-0.011598132,0.000776495
0.006180936,0.003391513,-0.002755301,-0.002520447,0.008754081,0.014422169,0.007353816,0.006400024,-0.002873667,0.009581603
-0.005284057,0.004470204,0.005601764,-0.003706775,0.049044452,0.023031195,0.004741448,0.038205967,-0.001371591,0.000232349
0.001062835,-0.012812326,-0.018562323,0.017644196,-0.00247586,0.01491669,0.012983486,-0.00062251,0.017287197,0.006577409
-0.00317849,0.016509079,0.025958227,-0.003999501,-0.010170322,0.002582561,-0.004309179,0.003749193,0.001163282,0.009591831
-0.019283234,-0.003439975,-0.008836761,0.004504445,-0.024503945,-0.011148591,-0.00138373,0.00692118,0.001274695,0.008122597
0.006934644,-0.005092472,-0.03211727,0.014700463,0.010020524,0.01422572,-0.002894194,0.023395566,0.016223028,0.009369917
-0.002088213,-0.028931942,-0.048391576,-0.016403402,0.010960284,-0.012049269,-0.007531621,-0.007456327,-0.017521272,0.003495901
0.008398375,0.024593266,0.005455618,-0.013898845,0.016778381,-0.007128792,-0.015697942,-0.00042592,0.023948793,-0.004470357
0.014380842,-0.002150377,0.032534402,0.031516501,-0.031164357,0.021992289,0.017290375,0.002990162,0.014201092,-0.002543692
0.008592412,-0.003011244,0.036214144,-0.031481982,0,0.004085683,-0.001369265,-0.009729221,-0.018500293,-0.009690884
0.018523678,0.017908011,-0.009147781,-0.032429927,0.023453855,0.004475259,-0.018246846,0,0.026690389,-0.001686376
0.007817158,0.001869204,0.044443058,-0.025067696,0.015672637,0.012966446,-0.015081284,0.001270596,-0.040700493,0.003622528
0.012787086,0.017180239,0.08095682,0.04668479,0.016464263,-0.006861415,-0.000112969,0.007037787,-0.00358532,0.001844345
-0.013564211,0.003714588,0.028367839,0.00486933,-0.007439538,-0.012138515,-0.000726006,-0.008458448,-0.019072153,-0.001781684
0.000334091,0.029668765,0.022920077,0.010925652,-0.000806338,-0.000485305,0.002717755,-0.003161889,0.010907094,0.005944424
-0.018117142,0.004635802,-0.018775825,-0.042313427,-0.01066987,-0.010601966,-0.002533434,0.022634189,-0.013778279,-0.002502949
-0.003018792,-0.011137905,-0.007643975,-0.018840266,-0.004664909,-0.002242053,0.003400149,-0.02130803,0.005098921,-0.005629463
0.010010963,-0.017905374,0.049645337,-0.048416506,-0.003831323,-0.001874542,-0.01193441,-0.024289807,-0.019352805,-0.007119098
0.002777187,-0.002952722,-0.004279906,0.018366664,0,-0.020771662,0.000656284,-0.005323518,-0.022124485,0.001237063
-0.006203631,0.024049654,0.001285657,0.006824449,-0.008407021,-0.024252095,0.018522459,-0.000613911,-0.015960357,-0.000500457
0.009044725,0.018749297,-0.002635755,0.009893313,0.026441545,-0.005760022,-0.026306552,0.004728656,-0.00033597,-0.02239108
0.003229655,-0.007089371,7.13E-05,0.002228164,-0.006548351,-0.0185294,0.007179504,0.01906559,-0.006905978,-0.005893755
0.010699495,0.027278783,-0.02500521,-0.031924112,-0.005938012,-0.001709145,-0.002615489,-0.017699128,0.01403705,0.00737833
0.017100972,-0.013614948,0.001251775,0.023399572,-0.001166417,-0.002238227,0.000542517,-0.001848796,-0.022222319,0.011574739
0.007165415,0.00821804,0.024145317,-0.004614384,-0.003905622,0.02714978,0.020268951,0.036185612,0.050354157,0.007845543
0.002047706,0.012249524,-0.023711825,-0.008496719,0.004668903,0.003754441,0.008985283,-0.000425558,0.016244203,-0.002228245
-0.002652239,-0.011529946,-0.015674212,-0.025270745,0.006851407,-0.012925502,0.0056164,-0.03192585,0.000818438,0.003294491
0.013548361,0.026547707,-0.012771149,-0.0279699,0.005784417,-0.010659348,-0.013685908,0.0066349,-6.97E-05,-0.014380104
0.000295813,0.012928649,0.101279931,-0.003906639,-0.003658439,0.044868366,-0.002729678,0.036535569,0.078035222,-0.005793704
0.009912014,0.004435636,0.025410186,0.042104121,0.006024893,0.018073893,0.006657103,0.019053836,0.004006201,0.001154301
0.00010861,0.002649508,-0.005539572,0.007121317,-0.036271388,-0.018834799,-0.000555874,0.030932518,-0.026396826,-0.002217089
-0.006824387,-0.005926065,-0.000530869,-0.012361505,0.00951594,-0.003904725,-0.004847862,0.005905079,-0.010290942,-0.020172098
-0.021562405,0,-0.028800808,0.054026774,0.026975254,-0.008645143,0.008299996,0.027058491,-0.004095706,0.001186326
0.003761776,0.006571011,-0.001691337,-0.006915797,0.030898657,0.012183481,0.011749835,-0.002791304,0.005311885,0.000904682
-0.002141176,-0.005386691,-0.005848381,0.003919373,0.00598165,0.014614329,0.003731327,0.005849322,0.007238084,0.007893143
0.011200188,0.018629032,0.060058895,0.003258088,-0.000287269,0.006669843,0.027136176,-0.005815306,-0.003955419,0.012229565
0.009199088,0.018106826,0.050301197,-0.003135904,0.00522362,-0.004968086,0.016965078,0.003267197,0.005820676,-0.00256046
-0.01141426,0.004059738,-0.014755433,0.017086228,-0.033243668,-0.017402303,-0.013102278,-0.0041831,0.012632054,-0.007962825
-2.67E-05,-0.004548884,-0.024790766,0.017619117,-0.029265361,-0.004784032,0.018664562,-0.021823156,-0.003899377,-0.011789273
-0.013573908,-0.018434713,-0.026271704,-0.004844863,-0.007287501,-0.028726317,-0.02265267,0.012661142,0.010876042,-0.006862553
-0.002283456,-0.004805896,0.096343211,0.045213406,-0.00341203,-0.008340661,-0.027919962,-0.02622733,-0.05303842,-0.005266064
-0.0221486,-0.013322258,0.001421347,0.032362459,-0.006921828,-0.030979041,-0.031841788,0.019424131,0.018517665,-0.00570703
0.001825484,-0.018451121,-0.025818596,0.007271877,0.002182983,-0.01694542,-0.000787766,0.00068607,-0.004518605,-0.006878336
-0.01269261,0.003912261,-0.05894068,-0.024342538,-0.010322147,-6.80E-05,-0.032388567,-0.024754697,-0.048246403,-0.011826758
-0.009205426,-0.005403376,-0.002294104,0.053479381,0.00390392,0.020485755,0.010278555,0.019322574,0.037907148,0.004972867
0.003305706,0.041346558,0.01309258,0.061995329,0.014795431,0.008933107,0.004530984,0.01640482,0.030493612,0.004666612
0.001465769,0.003526816,-0.008221246,0.050611089,-0.002780125,0.0267612,-0.030296984,-0.02566417,0.017457929,0.010457104
0.008795411,-0.012916585,-0.041111064,-0.018764091,0.010000271,-0.00965361,0.004613965,-0.004928274,0.02364293,0.001834006
0.020235662,0.020797251,0.020986929,-0.067859068,0.007869508,0.073949407,0.016668246,-0.006454471,0.034599942,0.020445228
0.019381655,-0.00795604,-0.012186078,-0.022245066,0.016503458,0.001129817,-0.003459267,-0.002442287,0.004577443,0.017249848
-0.018987671,0.031782294,-0.036787793,0.030339196,-0.00068086,-0.00846848,0.009040738,0.011907409,0.002224906,-0.013291954
-0.012635459,0.023205226,-0.001001018,0.01098314,0.014194373,0.013353325,-0.007304594,-0.011767291,-0.055545051,0.007859983
-0.015623432,-0.054259409,-0.060711904,0.172424607,0.017805055,-0.026796175,-0.000997911,0.019235121,-0.003117222,-0.007855219
0.003399154,-0.013696756,-0.03749192,-0.266105821,0.01012332,-0.043025608,-0.003170864,-0.012955144,-0.003266083,-0.001534499
0.006561969,0.000493406,-0.006677812,0.002310269,0.013835612,-0.002056546,0.004057618,-0.007537118,0.001314158,-0.004357148
-0.010685068,0.00474854,-0.023389934,0.017871854,-0.013828302,-0.010248133,0.015918126,-0.009659701,0.003276115,0.009713176
-0.012497158,0.010677647,-0.009256974,-0.026107853,-0.003562596,0.010968919,0.001667514,-0.005458515,-0.000219712,0.001889019
-0.001195916,0.020173837,-0.015354485,-0.008289789,0.004235355,-0.036050022,-0.007236727,-0.004347826,-0.004711113,0.001605441
0.001147353,0.002760361,0.000734589,-0.001360867,0.003352149,-0.001670374,-0.011147142,-0.008834316,-0.012130624,-0.004224964
0.01496205,-0.013210963,-0.015489364,-0.024773307,0.012913416,0.008246957,0.009871715,0,-0.017641017,-0.011875574
-0.008608802,-0.013190175,0.025653707,-0.010288927,0.001258152,-0.010683747,-0.002559723,-0.002578942,0.004724249,-0.009665574
0.011654516,0.023341678,0.022630967,0.019415268,0.03008413,0.015329596,0.022561946,0.007579039,0.00770487,0.01471169
-0.011147973,0.012170909,-0.030876691,-0.006540254,-0.015901901,-0.011123566,0.005424804,-0.005812728,-0.001326299,-0.003108398
0.005706807,-0.000178932,0.002333466,-0.000664713,-0.024357311,-0.006936119,0.002557551,-0.003218884,-0.002359397,-0.009405401
-0.007443784,-0.003842651,-0.009126863,0.00022162,0.000847981,-0.006110726,-0.001196369,0.001504432,0.013059913,0.000672242
0.018377192,-0.005005794,0.011322395,-0.000885628,-0.003485568,-0.011059522,0.001003335,-0.002786152,0.012292546,0.007990527
-0.007070847,-0.006481065,0.023491577,-0.024408722,-0.002291994,0.004175222,-0.017256187,-0.005117258,0.010806581,-0.007899367
0.000152108,-0.008714874,-0.043263393,-0.002155405,0.011215627,-0.010007245,0.006757005,-0.00845666,-0.013589567,0.001824101
0.018457805,-0.003924639,0.016102324,0.005417705,-0.012158202,-0.008889856,-0.004209302,0.006382979,-0.005333662,-0.003746406
-0.022113977,-0.010654003,-0.03045229,-0.018713424,-0.012140642,-0.010470908,0.006111877,-0.007182074,-0.044933696,0.002129356
-0.014111486,-0.01610932,-0.002900281,-0.020822488,0.010773597,-0.025914454,0.004447253,-0.019875789,-0.087639151,-0.009161068
0.020651828,0.004423264,-0.010657581,0.007975627,0.005150419,0.007521977,-0.003964131,0.003115265,0.001589012,-0.010194295
-0.005858722,0.003928136,0.005416515,0.004215407,-0.001582237,-0.005876544,0.005454221,-0.006397041,0.001479027,-0.001317211
0.015958117,0.018418008,0.00491069,0.021640867,-0.006757591,-0.001981575,0.00751125,-0.031574716,0.005636113,0.003939624
0.008017172,0.007692608,0.017579742,0.020547207,0.010454161,-0.014613222,-0.00438662,0.012750431,-0.003760654,0.013005163
0.016402466,0.000974697,0.013732072,0.041900373,-0.015272374,0.002146209,-0.003741303,-0.005034233,-0.005574948,0.003894294
-0.023837602,-0.010168875,0.002938146,-0.024676168,0.011973811,-0.046854084,-0.006170267,-0.017606318,-0.016395752,-0.010451886
